date,portfolio_value,period_return,cumulative_return,drawdown,turnover,transaction_cost,benchmark_return,excess_return,active_stocks,weight_ABNB,weight_AMGN,weight_BKR,weight_CCEP,weight_GOOGL,weight_LIN,weight_PYPL
2024-04-30,10257426.209246673,0.24130206145346167,2.574262092466717,0.0,0.0,0.0,0.27083730724241045,-0.029535245788948783,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-05-31,10276783.000347123,0.18871002048254013,2.7678300034712278,0.0,0.0,0.0,0.22257564429725915,-0.033865623814719026,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-06-30,10286123.278760986,0.09088718146085742,2.8612327876098576,0.0,0.0,0.0,0.1468739307352475,-0.05598674927439007,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-07-31,10302167.628713412,0.15598053336143494,3.021676287134123,0.0,0.0,0.0,0.15917812106532178,-0.0031975877038868394,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-08-31,10325097.585122496,0.22257409542799,3.2509758512249576,0.0,0.0,0.0,0.19314439142388956,0.029429704004100443,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-09-30,10358155.931957783,0.32017466723918914,3.581559319577843,0.0,0.0,0.0,0.28937881546361105,0.030795851775578087,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-10-31,10385051.222880844,0.25965327322483067,3.8505122288084337,0.0,0.0,0.0,0.2490947033677782,0.010558569857052474,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-11-30,10404377.46873082,0.18609677925705914,4.04377468730821,0.0,0.0,0.0,0.15627164021134377,0.029825139045715376,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-12-31,10430606.553519757,0.29209662824869154,4.306065535197567,0.0,0.4,4161.750987492329,0.20648592923368725,0.08561069901500429,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-01-31,10458571.348463425,0.2681032478809357,4.585713484634257,0.0,0.0,0.0,0.18808620316641672,0.08001704471451898,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-02-28,10474100.607122695,0.14848355613648892,4.741006071226961,0.0,0.0,0.0,0.06736870189862593,0.081114854237863,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-03-31,10483418.009680042,0.0889565883204341,4.834180096800411,0.0,0.0,0.0,0.03181398540203061,0.057142602918403486,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-04-30,10495451.338530263,0.11478440370410681,4.954513385302639,0.0,0.0,0.0,0.07895598600485496,0.03582841769925185,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-05-31,10507552.800881566,0.1153019718825817,5.075528008815655,0.0,0.0,0.0,0.07748230174183846,0.03781967014074325,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-06-30,10523693.840419555,0.1536136895418167,5.236938404195546,0.0,0.0,0.0,0.10680500630821499,0.04680868323360171,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-07-31,10537202.84475747,0.12836751565337182,5.372028447574695,0.0,0.0,0.0,0.11218227632343769,0.016185239329934126,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-08-31,10555320.686753673,0.17194166481494905,5.553206867536731,0.0,0.0,0.0,0.1139844230575753,0.057957241757373754,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-09-30,10577165.603014339,0.20695644319057466,5.7716560301433795,0.0,0.0,0.0,0.12082186341285706,0.0861345797777176,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-10-31,10603166.594900414,0.24582192301750186,6.03166594900415,0.0,0.0,0.0,0.13874402535813193,0.10707789765936992,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
2025-11-30,10626060.639191614,0.2159170478582382,6.260606391916146,0.0,0.0,0.0,0.1671152865248067,0.048801761333431504,7,0.0,0.2,0.2,0.2,0.2,0.0,0.2
